ID	STRUCTURE	FREQUENCY	Bana	BiaoMin	CentralGuizhouChuanqiandian	Chuanqiandian	EasternBahen	EasternLuobuohe	EasternQiandong	EasternXiangxi	Numao	WesternBaheng	WesternLuobuohe	WesternQiandong	WesternXiangxi	Younuo	ZaoMin	COGNATESETS	CONCEPTS
421-2	i	2	tɕ	d	ʈʂ	ʈ	t	ʈ	t	t	Ø	ȵ	ʈ	t	ʈ	Ø	t	2441:0, 7432:0	crab / pond
424-2	i	2	tɕ	ts	s	ʈʂ	tɕ	tɕ	Ø	t	tɕ	Ø	ts	ɕ	tɕ	ts	t	4082:0, 633:0	be tired / fragrant (smell) / stinky (smell)
558-2	i	2	tɕ	k	kʰ	k	kʰ	k	tɕ	g	tɕ	k	k	tɕ	k	k	Ø	9803:0, 66:0	I / ten
20-1	i	1	tɕ	t	k	ʈʂʰ	tɕ	ʑ	tɕ	dʑ	tsʰ	tɕ	ʑ	tɕ	c	k	t	9784:0	tea
44-1	i	1	tɕ	Ø	k	ts	k	k	k	k	tɕ	k	k	tɕ	q	k	k	8123:0	saw
133-1	i	1	tɕ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	Ø	ʔ	Ø	Ø	ʔ	Ø	Ø	9701:0	swell (of tissue)
248-1	i	1	tɕ	s	sʰ	ʈʂ	Ø	Ø	s	ts	ts	Ø	Ø	Ø	tɕ	Ø	Ø	9973:0	last year / next year / this year / year
760-1	i	1	tɕ	Ø	Ø	ʈʂʰ	tsʰ	Ø	Ø	tsʰ	Ø	Ø	Ø	Ø	q	Ø	Ø	8624:0	sieve
795-3	i	3	tsʰ	l	q	Ø	k	q	Ø	q	k	k	q	ɬ	q	k	k	10921:0, 34:0, 3417:0	Chinese cabbage / everybody / white
1173-3	i	3	tsʰ	s	tɕʰ	tɕʰ	ʔ	tɕʰ	tɕʰ	tsʰ	tɕʰ	Ø	tɕʰ	tɕʰ	tsʰ	s	s	9634:0, 4179:0, 33:0	Chinese cabbage / frost / sweep
1304-3	i	3	tsʰ	Ø	t	ⁿtɕ	ts	ts	s	d	ts	tɕ	t	s	t	tʰ	ts	691:0, 3667:0, 10006:0	bed / fight / thorn/ splinter
262-2	i	2	tsʰ	tɕ	q	kʰ	q	Ø	q	k	Ø	q	k	q	q	k	Ø	6087:0, 3534:0	axe / broom / fan (can be held by single hand) / foot / mat / stool (bench) / tooth / wing
393-2	i	2	tsʰ	tsʰ	ʐ	ʈ	s	tsʰ	s	Ø	k	s	tsʰ	t	ʐ	tʰ	Ø	7003:0, 4589:0	grass / onion/ scallion
873-2	i	2	tsʰ	Ø	tɕʰ	ts	tsʰ	ts	Ø	Ø	ts	k	tɕʰ	k	ts	k	k	1226:0, 6839:0	brush / now
919-2	i	2	tsʰ	tsʰ	tsʰ	t	tsʰ	tsʰ	Ø	dʑ	Ø	tɕ	tsʰ	sʰ	c	Ø	Ø	9895:0, 3687:0	file / thief
1192-2	i	2	tsʰ	Ø	tɕ	Ø	tsʰ	tɕʰ	Ø	tsʰ	tɕʰ	s	tɕʰ	s	Ø	s	Ø	1962:0, 1194:0	broom / clean
1236-2	i	2	tsʰ	Ø	k	q	Ø	ⁿtɕ	Ø	k	Ø	q	Ø	q	k	k	Ø	2960:0, 1690:0	chair / dragonfly
60-1	i	1	tsʰ	tsʰ	s	ts	Ø	z	ts	tsʰ	s	Ø	z	s	q	tʰ	ɕ	1791:0	chisel
107-1	i	1	tsʰ	ts	Ø	ts	tɕ	z	Ø	t	Ø	tɕ	z	s	t	tsʰ	Ø	6187:0	money
134-1	i	1	tsʰ	d	ʈʂ	ʈ	t	Ø	Ø	d	t	tʰ	Ø	t	ⁿt	Ø	Ø	10524:0	vegetable knife
435-4	i	4	ts	tɕ	ʈʂ	ʈ	t	ʈ	t	t	t	tɕ	ʈ	t	ʈ	t	t	8711:0, 5633:0, 10789:0, 5186:0	hot pepper/ chili / laugh (smile) / six / well
781-3	i	3	ts	ts	ʈʂʰ	ts	ts	ts	k	ts	tɕ	s	ts	s	ts	t	t	9481:0, 8208:0, 11000:0	scissors / stove / window
788-3	i	3	ts	tɕ	ts	ts	ts	ts	ts	ts	tɕʰ	Ø	ts	Ø	ts	ts	Ø	7623:0, 420:0, 5426:0	awl / dove / itch / rabbit / sock (stocking)
1025-3	i	3	ts	dz	tɕ	tɕ	ts	Ø	ts	ts	Ø	q	Ø	q	ts	tsʰ	Ø	148:0, 5716:0, 8268:0	a lame person / a person with a pockmarked face / left / see
1150-3	i	3	ts	Ø	tɕ	tɕ	t	ʑ	tɕ	Ø	tɕ	t	ʑ	tɕ	tɕ	Ø	s	1288:0, 10224:0, 10335:0	burn / tongs / turn around
1246-3	i	3	ts	ts	ʑ	ts	ts	ts	ts	tɕ	Ø	tɕ	Ø	Ø	ɕ	ts	t	1685:0, 335:0, 2858:0	arrow / chair / dirty
1287-3	i	3	ts	s	s	ⁿʈʂ	ts	tsʰ	ts	ts	Ø	ʔ	ts	ɕʰ	Ø	ts	ʑ	88:0, 309:0, 2796:0	a blind person / a deaf person / ant / box / difficult / swallow
680-2	i	2	ts	ts	Ø	ts	ts	t	ts	z	tɕ	tɕ	t	t	ⁿts	t	t	3326:0, 4611:0	elder sister / grave
699-2	i	2	ts	tɕ	ʈʂ	ʈʂ	tɕ	ts	ts	ts	ts	Ø	ts	tɕ	ts	ts	Ø	1474:0, 418:0	awl / candle
877-2	i	2	ts	tʰ	tɕʰ	tɕ	tɕ	tɕ	Ø	t	tɕ	tɕ	Ø	tɕ	t	Ø	s	6969:0, 9346:0	oneself / step
974-2	i	2	ts	ts	k	Ø	ts	k	Ø	kʰ	tɕʰ	k	ⁿqʰ	tɕʰ	q	t	Ø	5051:0, 417:0	awl / hoof
978-2	i	2	ts	dʑ	q	Ø	ts	qʰ	t	k	t	Ø	kʰ	q	c	Ø	k	8355:0, 4143:0	front / shadow
996-2	i	2	ts	Ø	tɕʰ	ʈʂ	ts	tɕʰ	Ø	h	s	Ø	ts	s	ts	Ø	Ø	5508:0, 3370:0	enter (a house) / kitchen
1062-2	i	2	ts	Ø	ⁿʈʂʰ	ⁿts	ⁿts	ⁿdz	Ø	Ø	ⁿts	Ø	ⁿdz	Ø	ⁿts	Ø	k	9925:0, 6261:0	morning / thin (slim)
