ID	STRUCTURE	FREQUENCY	Bana	BiaoMin	CentralGuizhouChuanqiandian	Chuanqiandian	Dongnu	EasternBahen	EasternLuobuohe	EasternQiandong	EasternXiangxi	Jiongnai	KimMun	Mien	NortheastYunnanChuanqiandian	NorthernQiandong	Numao	Nunu	She	SouthernGuizhouChuanqiandian	SouthernQiandong	WesternBaheng	WesternLuobuohe	WesternQiandong	WesternXiangxi	Younuo	ZaoMin	COGNATESETS	CONCEPTS
2400-4	t	4	⁵⁵	²⁴	¹³	³³	³¹	⁵³	⁵	²⁴	⁵⁵	⁵⁵	¹¹	⁵⁵	¹¹	³³	⁵⁵	²²	⁵⁵	⁴⁴	³⁵	⁵³	³¹	Ø	⁴⁴	⁵⁴	⁴⁴	2830:4, 12041:4, 13229:3, 7604:3	bamboo hat / bean / cooked rice / forget / goods (merchandise)
2472-4	t	4	⁵⁵	²⁴	Ø	³³	⁴²	⁵⁵	³³	Ø	³³	⁵³	³³	²⁴	¹¹	⁵⁵	Ø	¹³	⁵⁵	⁵³	³⁵	⁴⁴	³¹	¹¹	³⁵	⁵⁴	⁴²	26887:3, 23290:3, 5885:3, 22731:3	chair / riddle / run / stove
2487-4	t	4	⁵⁵	²⁴	²	⁴⁴	³¹	⁵⁵	²⁴	⁴⁴	³⁵	³¹	⁵⁵	²⁴	¹¹	⁴⁴	⁴²	¹³	³¹	⁵⁵	Ø	⁵⁵	³⁵	¹¹	²²	³²	⁴²	9725:4, 29932:3, 13036:2, 15628:2	easy / gnaw / good / itch / umbrella
2534-4	t	4	⁵⁵	⁵³	²²	³³	¹³	⁵⁵	²⁴	Ø	³³	⁴⁴	⁵⁵	²⁴	³¹	⁴⁴	⁴²	⁴²	³⁵	⁵³	⁴⁴	⁵⁵	³⁵	³³	³⁵	⁵⁴	²²	5654:4, 28290:3, 1613:3, 24916:2	alive (living) / carrying pole (shoulder pole) / sing / thin (slim)
2584-4	t	4	⁵⁵	²⁴	⁴²	²⁴	²³¹	⁵⁵	²⁴	Ø	³³	⁵³	⁵⁵	³³	³³	⁴⁴	⁴²	⁴²	³⁵	⁵⁵	⁵³	⁵⁵	³¹	¹³	³⁵	⁵⁴	⁴²	14618:3, 6362:3, 5443:2, 11040:2	carpenter / chop into pieces / fierce / high social status
2623-4	t	4	⁵⁵	²⁴	¹³	⁴⁴	¹³	⁵⁵	⁵⁵	³³	⁵⁵	⁴⁴	Ø	³¹	³³	³³	⁵³	⁵³	⁵³	⁴²	³⁵	Ø	⁵⁵	³³	³⁵	²¹	Ø	12650:2, 7065:2, 31882:2, 16809:2	cock / garlic chives / lightning / woodpecker
2872-4	t	4	⁵⁵	⁴²	³¹	¹³	Ø	³¹³	²	Ø	Ø	³¹	³³	³¹	³¹	⁵⁵	⁵³	²²	⁵³	Ø	²²	Ø	²	⁵⁵	⁵³	³²	²⁴	29415:3, 28112:3, 18034:2, 11607:2	flat (and shallow) / midnight / they / true
2905-4	t	4	⁵⁵	³⁵	³¹	²¹	Ø	³³	⁵⁵	³³	⁵³	¹¹	⁵¹	⁵³	¹¹	³¹	⁵³	¹³	³⁵	Ø	³⁵	⁵³	⁵⁵	⁵³	⁴⁴	³²	²²	21670:3, 17544:2, 17598:4, 26311:3	maize/ corn / mantis / preserve harvest / squeeze / wait
2936-4	t	4	⁵⁵	Ø	²⁴	⁴³	⁵³	¹¹	Ø	¹³	³⁵	⁵⁵	Ø	Ø	¹¹	³¹	Ø	³⁵	⁵³	²³²	²⁴	⁵³	Ø	¹¹	²²	⁴⁴	⁴²	5543:2, 21452:3, 19897:3, 23761:2	carry on back / oneself / pare (peel with a knife) / pointed / scissor
282-3	t	3	⁵⁵	²⁴	⁴²	⁴⁴	⁴²	⁵⁵	²⁴	⁴⁴	³³	³⁵	⁵⁵	²⁴	¹¹	⁴⁴	⁴⁴	¹³	³⁵	⁵⁵	⁴⁴	⁵⁵	³⁵	³³	⁵³	⁵⁴	⁴⁴	25066:3, 27382:3, 5628:3	carry with pole on shoulder / six / sixteen / swell (of tissue)
898-3	t	3	⁵⁵	³⁵	⁴²	³³	³¹	⁵³	³³	³⁵	³⁵	⁵⁵	⁵¹	³³	¹¹	⁵³	⁴⁴	²²	³⁵	⁴⁴	³⁵	⁵³	³¹	¹¹	⁴⁴	²¹	²⁴	9235:2, 8354:3, 22625:3	dark / drink / glutinous rice / rice
1196-3	t	3	⁵⁵	⁴²	²²	¹³	¹³	³¹	²⁴	⁵³	¹³	³³	Ø	³³	¹¹	¹³	³¹	⁴²	Ø	²²	²²	⁴⁴	³⁵	²²	⁴²	⁵⁴	²²	27778:4, 23351:2, 30477:2	ramie / sack / soft / tender (young) / walk
1251-3	t	3	⁵⁵	⁴²	⁴²	³³	²¹	³¹	³¹	³⁵	¹³	⁵³	³³	Ø	¹¹	³³	⁵³	²²	³⁵	⁴⁴	¹³	³⁵	³¹	⁴⁴	³⁵	⁴⁴	⁵³	5699:4, 14647:3, 15966:2	cat / hit (a person) / lack (not have)
1361-3	t	3	⁵⁵	³¹	²⁴	⁴³	³³	³⁵	³¹	²⁴	¹³	Ø	³³	³¹	⁵⁵	³³	³³	¹³	³¹	²²	¹³	Ø	³¹	¹¹	³⁵	¹³	⁵³	10178:4, 381:2, 14675:2	Chinese cabbage / ethnic label / hoe
1405-3	t	3	⁵⁵	²⁴	⁴²	³³	²³¹	³¹	³¹	⁴⁴	⁵⁵	⁵⁵	⁵⁵	²⁴	⁵⁵	Ø	⁵⁵	⁴⁴	³¹	⁵⁵	⁵³	³	³⁵	⁵⁵	⁴⁴	⁵⁴	²⁴	14101:4, 11988:2, 31161:2	forenoon / hang (on the wall) / what
1487-3	t	3	⁵⁵	⁴²	⁴²	³³	³¹	⁵³	³³	²⁴	³⁵	⁵⁵	⁴²	²²	¹¹	⁵³	⁴⁴	²²	⁵³	⁴⁴	³⁵	³	³¹	⁴⁴	⁴⁴	³²	²²	31000:2, 20198:3, 8385:2	daughter / owl / weave
1524-3	t	3	⁵⁵	²⁴	⁵⁵	²⁴	⁴²	³¹³	Ø	⁵³	¹³	⁵⁵	⁵⁵	²⁴	⁵⁵	¹³	³³	³³	³⁵	¹³	²²	³⁵	³¹	¹¹	³⁵	⁵⁴	²²	22846:4, 25333:3, 7026:3	coal / right (correct) / slow
1541-3	t	3	⁵⁵	Ø	²⁴	⁴⁴	Ø	⁵³	²⁴	⁴⁴	³¹	⁵³	⁵⁵	²⁴	³³	⁴⁴	⁴⁴	Ø	³¹	⁵⁵	³⁵	⁴²	³⁵	Ø	³⁵	⁵⁴	⁴²	22458:2, 14102:3, 23657:2	hang / hang (on the wall) / remember / saw (something)
1549-3	t	3	⁵⁵	³⁵	⁴²	Ø	³¹	⁵⁵	⁵⁵	⁴⁴	³³	³⁵	³¹	²⁴	Ø	⁴⁴	Ø	¹³	Ø	⁵⁵	⁴⁴	⁵⁵	⁵⁵	¹¹	⁴⁴	⁵⁵	⁵³	18319:3, 24911:3, 5812:3	cave/ hole / morning / sing
1779-3	t	3	⁵⁵	²⁴	⁴²	⁵⁵	⁵³	³⁵	²⁴	⁴⁴	¹³	⁵⁵	³¹	²⁴	³³	⁵⁵	¹³	⁴²	⁵³	⁴²	²²	Ø	³⁵	Ø	⁴⁴	³³	²⁴	18429:3, 2737:4, 15374:3	be sleepy / be tired / in the past / mosquito net
1793-3	t	3	⁵⁵	⁵³	¹³	⁵⁵	⁵³	³	⁵⁵	⁵³	⁵³	Ø	Ø	²³¹	⁵⁵	¹³	¹³	³⁵	⁵⁵	⁴²	⁵³	Ø	⁵⁵	¹³	⁴⁴	⁴⁴	²⁴	32382:3, 13551:2, 25818:2	fruit / grape / pear / persimmon / plum / soup / younger brother / younger sister
1847-3	t	3	⁵⁵	Ø	²⁴	³³	⁴²	⁵³	⁵⁵	Ø	³	Ø	³⁵	Ø	¹¹	³³	³³	Ø	⁵³	Ø	³³	³⁵	²	Ø	³⁵	³	Ø	5272:4, 8291:2, 23689:2	can (jar) / collar / cupboard / scale
1994-3	t	3	⁵⁵	²⁴	⁴²	³³	³¹	⁵³	³³	²²	³¹	³³	³³	⁵⁵	¹¹	⁵³	³¹	Ø	³¹	⁴⁴	²²	⁴²	³¹	¹¹	⁴⁴	¹³	²²	8779:3, 24306:2, 21297:2	dig / peck (birds) / plug (something) / shake (head)
2065-3	t	3	⁵⁵	²⁴	⁴²	³³	³¹	⁵³	³¹	³⁵	Ø	⁴⁴	Ø	²⁴	¹¹	³³	¹³	³⁵	²²	⁴⁴	³⁵	⁵³	Ø	¹¹	⁴⁴	¹³	Ø	7523:4, 7330:2, 14188:2	comb (something) / connect (join) / have a fever
2117-3	t	3	⁵⁵	³³	²⁴	⁴⁴	³¹	³¹³	³¹	³⁵	³¹	⁴⁴	³⁵	³³	Ø	Ø	⁵³	²²	²²	⁵³	¹³	³¹	²	⁵⁵	³¹	Ø	⁴⁴	13508:3, 18810:3, 17311:3	grandson / loudspeaker / muer (an edible fungus)
2261-3	t	3	⁵⁵	³³	²⁴	⁴³	²	⁵⁵	Ø	⁵³	⁵⁵	Ø	⁴²	²¹	⁵⁵	³³	⁵³	Ø	³⁵	³²	Ø	⁵⁵	⁵⁵	³³	⁴⁴	⁵⁴	Ø	9413:4, 17422:3, 4305:2	branch/ twig / dry in the sun / low social status
2389-3	t	3	⁵⁵	²⁴	¹³	⁴⁴	⁴²	³¹³	²	Ø	⁵⁵	⁵³	Ø	²⁴	⁵⁵	⁵³	⁴⁴	¹³	⁵⁵	²³²	³⁵	Ø	²	¹³	⁴⁴	Ø	Ø	3626:3, 23626:2, 16471:2	blood / left / saw
2393-3	t	3	⁵⁵	Ø	³¹	³³	³¹	Ø	⁵	³⁵	³³	³¹	³¹	³¹	⁵⁵	⁵³	⁴⁴	²²	³⁵	⁴⁴	³⁵	³³	⁵	¹¹	⁴⁴	¹³	Ø	14564:3, 2227:3, 17985:2	ball / hide (something) / middle
2426-3	t	3	⁵⁵	³³	²⁴	⁵⁵	²	³³	²	Ø	⁵³	¹¹	³⁵	³³	⁵⁵	Ø	Ø	Ø	²²	⁴⁴	³⁵	⁵³	²	¹³	⁴⁴	⁵⁴	²⁴	20307:4, 13390:3, 18094:3	congee (gruel, porridge) / flour / grain / milk / paddy rice / sand
2690-3	t	3	⁵⁵	Ø	³¹	²¹	⁵³	⁵³	³¹	⁴⁴	¹³	⁵³	⁵⁵	²⁴	Ø	Ø	Ø	¹³	³³	⁴⁴	²⁴¹	³⁵	³⁵	²¹	⁴⁴	⁵⁴	⁴²	3599:4, 5087:3, 16475:2	bloated (of stomach) / buttocks / left
2694-3	t	3	⁵⁵	Ø	¹³	Ø	³¹	⁵³	⁵⁵	³⁵	⁵³	⁵³	Ø	Ø	Ø	⁵³	⁵³	Ø	³³	⁵⁵	Ø	⁵³	³¹	¹¹	³⁵	³³	Ø	23786:4, 13433:2, 15427:4	grandfather / inhale / scissors
2781-3	t	3	⁵⁵	³⁵	Ø	³³	⁵³	⁵⁵	Ø	³³	³³	⁴⁴	⁵⁵	²⁴	⁵³	Ø	¹³	Ø	³³	Ø	³⁵	Ø	³⁵	²²	⁵³	³¹	²¹	5546:2, 5450:3, 17460:3	a piece of cloth with straps for carrying a toddler steelyard on the back / carpenter / carry on back / lung
2892-3	t	3	⁵⁵	³⁵	⁵⁵	Ø	Ø	³¹³	²⁴	¹³	⁵⁵	⁴⁴	Ø	²³¹	³⁵	Ø	³³	Ø	³⁵	⁴²	Ø	Ø	³⁵	⁴⁴	²²	⁵⁵	Ø	8038:3, 15968:3, 13758:4	crab / grow up / lack (not have)
623-2	t	2	⁵⁵	²⁴	⁵⁵	Ø	³³	Ø	³¹	⁴⁴	³³	⁴⁴	³⁵	²⁴	³³	⁵⁵	³³	³³	³³	²²	¹³	⁴⁴	³¹	⁵⁵	³¹	¹³	⁴²	1207:3, 1931:4	a lame person / arrow
824-2	t	2	⁵⁵	³³	Ø	⁴⁴	⁴²	³⁵	⁵	Ø	³⁵	⁴⁴	³⁵	³³	³³	⁴⁴	¹³	¹³	⁵⁵	⁵⁵	⁵³	³⁵	³¹	¹³	⁴⁴	⁴⁴	Ø	14825:2, 3319:4	bend (curved) / hook
861-2	t	2	⁵⁵	Ø	Ø	⁴³	³³	³	³³	²⁴	Ø	Ø	³³	³³	⁵⁵	³³	¹³	²²	²²	²²	³³	³	³³	⁴⁴	³⁵	Ø	Ø	9472:3, 21269:4	dust / plough (something)
868-2	t	2	⁵⁵	²⁴	Ø	²⁴	Ø	³⁵	³³	⁴⁴	³³	⁵³	⁵⁵	²⁴	³¹	Ø	⁴⁴	¹³	³¹	Ø	⁵³	Ø	³⁵	Ø	³⁵	⁵⁴	⁴²	22528:2, 24442:2	rescue (save) / shelf
1111-2	t	2	⁵⁵	Ø	³¹	Ø	²¹	³³	³¹	²⁴	Ø	⁵⁵	Ø	Ø	⁵⁵	³³	³³	³³	⁵⁵	³²	¹³	³	³¹	⁴⁴	⁴⁴	⁴⁴	²⁴	1861:4, 21420:2	ant / point at
1178-2	t	2	⁵⁵	Ø	⁴²	³³	²²	⁵³	³³	³⁵	³⁵	³⁵	Ø	²⁴	Ø	³³	Ø	Ø	³⁵	Ø	¹³	⁵³	²	Ø	⁴⁴	²¹	Ø	22187:2, 9029:2	do (something) / rainbow
1237-2	t	2	⁵⁵	Ø	Ø	⁵⁵	⁴²	⁵⁵	²⁴	³³	⁵³	⁴⁴	¹¹	Ø	⁵⁵	⁴⁴	Ø	¹³	²²	³⁵	²⁴¹	⁵⁵	³¹	³³	³⁵	⁴⁴	Ø	26888:2, 26656:3	kitchen / stomach / stove
1303-2	t	2	⁵⁵	Ø	²⁴	²⁴	⁵³	³⁵	²	⁴⁴	Ø	Ø	⁵¹	²⁴	⁵⁵	³⁵	Ø	³⁵	Ø	²³²	⁴⁴	³⁵	²	³³	Ø	³³	²⁴	6005:3, 22795:2	chest / head covering / hoe / right
1315-2	t	2	⁵⁵	²⁴	Ø	²⁴	³³	⁵³	²⁴	²²	³¹	Ø	⁴²	²⁴	Ø	Ø	³¹	⁴²	³⁵	Ø	⁵³	Ø	Ø	³³	³¹	⁵⁴	Ø	22720:3, 4645:3	brown sugar / riddle
1434-2	t	2	⁵⁵	²⁴	¹³	Ø	³³	³¹³	Ø	⁴⁴	³³	⁵³	⁴²	Ø	⁵⁵	⁴⁴	Ø	³³	Ø	Ø	²²	Ø	²	³³	⁴⁴	⁵⁴	Ø	20401:3, 5385:3	car / pants/ trousers
1452-2	t	2	⁵⁵	³⁵	³¹	²¹	²²	³³	³¹	Ø	⁵³	Ø	Ø	⁵³	³⁵	³³	³³	Ø	⁵⁵	²¹	¹³	³	Ø	³³	²²	²¹	Ø	1368:3, 9188:4	a piece of cloth with straps for carrying a toddler steelyard on the back / dragonfly
1581-2	t	2	⁵⁵	Ø	²²	³³	Ø	³⁵	³³	Ø	⁵³	⁵⁵	⁵¹	⁵³	¹¹	Ø	⁵³	Ø	³⁵	⁵⁵	⁴⁴	³⁵	³¹	Ø	⁴⁴	Ø	Ø	21295:2, 4866:3	bull / plug (something)
1878-2	t	2	⁵⁵	Ø	⁴²	³³	Ø	Ø	³³	Ø	⁵⁵	³³	³³	Ø	¹¹	³⁵	Ø	⁴²	³¹	¹³	³¹	Ø	³¹	Ø	⁴⁴	Ø	Ø	27807:3, 24794:4	connect (join) / separate / side / tendon
2148-2	t	2	⁵⁵	Ø	¹³	Ø	Ø	³³	⁵⁵	³⁵	³¹	⁴⁴	Ø	²²	Ø	⁵³	Ø	³³	Ø	⁴²	Ø	³³	⁵⁵	Ø	Ø	³²	Ø	23759:3, 9474:3	dust / scissor
2238-2	t	2	⁵⁵	Ø	Ø	¹³	⁵³	⁵⁵	Ø	Ø	³¹	Ø	⁵⁵	Ø	¹¹	Ø	Ø	Ø	⁵³	²¹	⁵³	Ø	²	Ø	³⁵	Ø	Ø	31564:3, 22308:2	buffalo / cattle (bos taurus) / fox / rapeseed flowers / wild cattle (bovine)
2254-2	t	2	⁵⁵	³⁵	Ø	²⁴	²³¹	Ø	²⁴	Ø	Ø	Ø	⁵⁵	²⁴	⁵⁵	Ø	Ø	Ø	²²	⁵⁵	¹³	³⁵	Ø	³³	Ø	⁵⁴	Ø	22121:4, 24445:3	awl / rabbit / shelf
2419-2	t	2	⁵⁵	²⁴	Ø	Ø	Ø	³⁵	³¹	¹³	³³	⁵³	Ø	Ø	Ø	Ø	⁵³	Ø	Ø	Ø	²²	³⁵	⁵	Ø	⁴⁴	Ø	⁴²	12105:2, 19333:2	fourteen / next year
1399-19	t	19	⁵³	⁴²	³¹	²¹	²³¹	¹¹	⁵⁵	²¹²	⁵⁵	³¹	³¹	²³¹	¹¹	¹¹	⁵³	⁴⁴	⁵³	¹¹	²⁴¹	¹¹	⁵⁵	²¹	²²	³²	⁴⁴	784:3, 22582:2, 13121:2, 26371:2, 561:3, 7161:3, 25274:3, 5656:3, 8431:3, 26806:4, 16288:3, 26807:3, 30675:3, 4180:2, 5738:2, 16380:2, 19668:2, 15328:3, 17602:4	Han Chinese / March / bird‘s nest / braid (something) / carrying pole (shoulder pole) / catch / cold / come / daughter-in-law / go out / horse / in the future / lazy / lean meat / mantis / old (used) / return / sleeve / stand up / storehouse / wasp nest
1225-18	t	18	⁵³	²¹	⁵⁵	²⁴	²¹	³¹	³³	¹³	⁵⁵	¹²	⁴²	²²	³¹	³¹	⁴²	²²	³⁵	²¹	²⁴	⁴²	³¹	⁵³	²²	²¹	²²	23880:3, 26019:4, 12987:4, 10723:4, 19000:3, 6623:2, 16804:4, 31325:3, 9057:3, 31125:2, 13694:2, 10727:3, 26021:2, 9943:2, 29204:2, 2868:2, 7028:3, 21894:3	bear / classifier for pairs / classifier for songs / coal / dodge / eight / eighteen / fan (can be held by single hand) / glutinous rice / grind (flour) / lightning / narrow / pursue / see / spicy / tongue / wet / whip
1915-7	t	7	⁵³	⁴²	²²	²⁴	²²	³¹	²⁴	⁵³	³⁵	³³	⁴²	²¹	¹¹	¹³	⁴²	²²	³⁵	³⁵	³⁵	⁴²	³⁵	²²	³⁵	²¹	²²	14155:2, 13693:3, 25331:3, 28996:2, 2544:2, 27804:3, 29200:3	be hungry / grind (flour) / hat / slow / tendon / tofu / tongue
2664-6	t	6	⁵³	⁴²	⁵⁵	³¹	³¹	³¹	⁵⁵	¹³	³⁵	³⁵	⁵¹	⁵³	³⁵	³¹	⁴²	³³	³⁵	²¹	²⁴	⁴²	³¹	Ø	⁵³	⁵⁴	²²	26562:3, 30134:2, 8644:2, 27439:3, 27472:4, 31948:4	defecate / pee / step (verb) / table / tael (-50 grams) / vegetable knife / word (speech)
