ID	STRUCTURE	FREQUENCY	Bana	BiaoMin	CentralGuizhouChuanqiandian	Chuanqiandian	Dongnu	EasternBahen	EasternLuobuohe	EasternQiandong	EasternXiangxi	Jiongnai	KimMun	Mien	NortheastYunnanChuanqiandian	NorthernQiandong	Numao	Nunu	She	SouthernGuizhouChuanqiandian	SouthernQiandong	WesternBaheng	WesternLuobuohe	WesternQiandong	WesternXiangxi	Younuo	ZaoMin	COGNATESETS	CONCEPTS
2810-22	t	22	⁵⁵	⁵³	⁴²	³³	³¹	⁵³	²	³⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	¹¹	⁵³	⁴⁴	²²	³⁵	⁴⁴	³⁵	⁵³	²	¹¹	⁴⁴	⁵⁵	⁴⁴	9440:4, 116:3, 7522:3, 13115:4, 20768:3, 25156:3, 31001:3, 3479:3, 2865:3, 7475:3, 677:4, 23760:4, 6489:2, 8355:2, 16260:4, 3480:3, 8639:3, 9263:3, 10428:3, 23318:2, 27241:4, 31726:3	1st day of the lunar month / July / bear / bite / classifier for clothing / congee (gruel, porridge) / connect (join) / dark / defecate / drip (emit liquid) / duck / extinguish / gnaw / go out / laugh (smile) / pee / pen / run away / scissor / skin (of animal) / sweat / weave / wing
2835-8	t	8	⁵⁵	³⁵	⁴²	³³	³³	⁵³	³³	³⁵	³⁵	⁵⁵	³¹	³³	¹¹	⁵³	⁴⁴	³³	⁵⁵	⁴⁴	³⁵	³¹	³¹	¹¹	⁴⁴	³²	²⁴	17133:3, 9053:2, 2834:3, 4264:3, 8907:3, 12359:4, 15326:2, 16852:3	bean / brains / cow pea / dispel / dodge / front / head / in the future / liquor (sweet) / loom / soya bean
2622-7	t	7	⁵⁵	³⁵	¹³	⁴⁴	⁵³	³¹³	⁵⁵	³³	¹³	³³	³¹	³³	³³	³⁵	³¹	³⁵	³⁵	³⁵	⁵³	³¹	⁵⁵	³³	⁴⁴	¹³	²⁴	17016:2, 20810:3, 19274:4, 14677:3, 15324:2, 7819:3, 21723:3	count / hoe / in the future / lock / net / peach / pear / persimmon / promise
2665-7	t	7	⁵⁵	³³	²⁴	⁴³	³³	³⁵	²	²⁴	⁵³	⁵⁵	⁵⁵	³³	⁵⁵	³³	⁴⁴	³³	³	³²	³¹	⁵³	²	⁴⁴	³⁵	⁴⁴	Ø	15540:4, 18764:4, 10499:3, 5814:2, 14621:2, 19703:2, 23319:2	calf / cave/ hole / eyebrow / girl / high social status / intestine / mudfish (loach) / old lady / run away
2007-6	t	6	⁵⁵	²⁴	⁴²	³³	³¹	⁵³	³³	³⁵	³⁵	⁵⁵	⁵⁵	²⁴	¹¹	⁵³	⁴⁴	²²	³⁵	⁴⁴	³⁵	⁵³	⁵⁵	¹¹	⁴⁴	⁵⁵	⁴²	31722:4, 14565:4, 2867:3, 22459:4, 27720:2, 14622:2	bear / hide (something) / high social status / remember / tell / wing
2027-6	t	6	⁵⁵	²⁴	⁴²	²⁴	⁴²	⁵⁵	³³	⁴⁴	³³	³⁵	⁵¹	²⁴	³¹	³⁵	⁴⁴	¹³	²²	¹³	⁴⁴	⁵⁵	³⁵	³³	³⁵	⁵⁴	²⁴	16624:4, 5003:2, 12608:4, 13043:4, 17461:3, 29160:2	busy / garlic / gnaw / letter / lung / tongs
2325-6	t	6	⁵⁵	²⁴	⁴²	³³	³¹	⁵³	³³	³⁵	³⁵	⁴⁴	⁴²	²⁴	¹¹	⁵³	⁴⁴	²²	³⁵	⁴⁴	³⁵	³⁵	³¹	¹¹	⁵³	⁴⁴	⁴²	19079:2, 9237:2, 20471:2, 7678:3, 7066:2, 15687:3	cock / cotton wool / drink / extinguish / jump / navel / pare (peel with a knife) / quilt
2444-6	t	6	⁵⁵	⁵³	⁴²	²⁴	⁴²	⁵⁵	²⁴	³⁵	³³	¹²	³¹	²⁴	¹¹	⁵³	¹³	¹³	³¹	³²	³⁵	⁵⁵	³⁵	²²	³⁵	⁵⁴	⁵³	22553:4, 17282:2, 27239:4, 7680:2, 11989:4, 29639:3	cotton wool / forenoon / loud / name / retreat / sweat / turnip
2523-6	t	6	⁵⁵	³⁵	¹³	⁵⁵	⁵³	³¹³	⁵⁵	³³	⁵⁵	⁵³	⁵¹	⁵³	⁵⁵	⁴⁴	Ø	²²	³¹	⁴²	³⁵	³	³¹	¹³	⁵³	³³	²⁴	10688:3, 21032:2, 2103:2, 2922:3, 5094:2, 13389:2	axe / beard/ moustache/ goatee / buttocks / false / grain / pillow
2537-6	t	6	⁵⁵	³⁵	²⁴	⁴³	Ø	³³	³³	¹³	¹³	⁴⁴	⁵¹	⁵³	⁵⁵	³⁵	⁵³	³⁵	³³	²²	²⁴	⁴²	³¹	³³	⁵³	⁵⁴	⁴²	30799:4, 16478:2, 5002:3, 3940:3, 6901:2, 24443:2	book / bucket / busy / close (the door) / left / shelf / water tank
2800-6	t	6	⁵⁵	⁵³	⁵⁵	⁴³	¹³	⁵⁵	⁵⁵	³⁵	³¹	³⁵	³¹	²⁴	³³	⁴⁴	⁵⁵	¹³	⁵³	⁵³	⁴⁴	⁵⁵	⁵⁵	Ø	³⁵	⁵⁵	²²	22119:2, 6991:4, 20769:2, 7524:3, 15379:2, 13599:3	cloud / connect (join) / grass / in the past / pen / rabbit
1039-5	t	5	⁵⁵	³³	⁵⁵	²¹	²¹	⁵³	²⁴	¹³	³⁵	⁵⁵	Ø	³³	¹¹	³¹	⁴²	²²	³³	²¹	²⁴	⁴²	³⁵	⁵³	²²	⁵⁵	⁴⁴	25893:4, 14509:3, 19003:2, 11775:3, 31153:2	cow / flow / hen / narrow / soya bean / what
1472-4	t	4	⁵⁵	³⁵	⁴²	³³	³¹	⁵³	³³	³⁵	³⁵	⁵⁵	³⁵	⁵⁵	⁵⁵	⁵³	⁵⁵	²²	³⁵	¹³	³⁵	³³	⁵⁵	¹¹	⁴⁴	⁵⁵	Ø	32383:3, 18673:3, 11666:3, 21421:2	daughter / flay (pull off skin) / girl / mow (cut grass) / point at / younger sister
1491-4	t	4	⁵⁵	²⁴	³¹	²¹	⁴²	⁵⁵	³³	⁴⁴	³³	³⁵	³¹	²⁴	³³	⁴⁴	⁵³	¹³	³⁵	⁵⁵	Ø	³⁵	³¹	³³	⁴⁴	⁵⁴	²⁴	25635:4, 13915:3, 20578:3, 17599:3	gunpowder / mantis / peanut / some kind of weapon (meaning unclear)
1730-4	t	4	⁵⁵	²⁴	³¹	¹³	⁴²	³⁵	²⁴	²²	³³	³⁵	⁵⁵	²⁴	⁵³	³³	⁵⁵	¹³	³⁵	⁵⁵	³⁵	⁵⁵	³⁵	³³	³⁵	⁵⁴	⁴²	5930:4, 1817:2, 24118:2, 24252:3	another person / change / set in movement / shadow
1910-4	t	4	⁵⁵	²⁴	¹³	²⁴	³³	³⁵	²⁴	⁴⁴	³³	Ø	⁵⁵	²⁴	³¹	¹¹	³¹	¹³	⁵⁵	¹³	⁵³	³⁵	¹³	¹³	³⁵	⁵⁴	⁴²	18130:3, 21184:3, 2586:4, 25641:2	be not (negated copula) / illuminate / mirror / plant (trees) / some kind of weapon (meaning unclear)
1918-4	t	4	⁵⁵	⁵³	²⁴	²⁴	⁵³	⁵³	³¹	³³	⁵⁵	⁵⁵	Ø	Ø	³¹	³⁵	¹³	⁴⁴	³³	Ø	²⁴¹	³⁵	³¹	¹³	⁴⁴	²¹	²⁴	32004:3, 31947:3, 18376:2, 20740:3	mosquito / peel (something) / word (speech) / wrong
2105-4	t	4	⁵⁵	⁵³	⁵⁵	⁵⁵	Ø	³¹³	⁵⁵	³³	⁵³	³⁵	³¹	³¹	Ø	⁵⁵	³³	³⁵	³³	³⁵	⁴⁴	³¹	³¹	³³	⁵³	⁴⁴	⁴²	28318:4, 8638:3, 15939:3, 2969:2	beautiful / defecate / know (to write) / pee / think
2133-4	t	4	⁵⁵	²⁴	⁵⁵	³¹	⁴²	⁵⁵	⁵⁵	²⁴	⁵⁵	⁴⁴	⁵¹	²⁴	¹¹	Ø	⁴⁴	¹³	³⁵	⁴⁴	³⁵	⁴⁴	⁵⁵	²²	⁴⁴	⁵⁴	²⁴	26773:4, 273:2, 20404:2, 26528:2	April / pants/ trousers / step / stool (bench)
2257-4	t	4	⁵⁵	⁵³	²	²⁴	²³¹	³⁵	⁵	¹³	³	Ø	Ø	Ø	¹¹	³³	¹³	³³	³	⁵³	³³	³¹	⁵⁵	³³	³⁵	³	²⁴	26652:2, 18812:2, 13845:3, 5144:2	button / guess (a riddle) / muer (an edible fungus) / stomach / tree top
2298-4	t	4	⁵⁵	²⁴	⁴²	⁴⁴	⁴²	⁵⁵	²⁴	⁴⁴	³³	³⁵	³³	²⁴	³³	⁴⁴	⁴⁴	¹³	³³	³⁵	⁴⁴	³¹	⁵⁵	³³	³¹	⁵⁵	⁴⁴	28885:4, 2896:3, 26241:3, 22729:4	bear (fruit) / guess (a riddle) / riddle / spout / to smell
