ID	STRUCTURE	FREQUENCY	Bana	BiaoMin	CentralGuizhouChuanqiandian	Chuanqiandian	EasternBahen	EasternLuobuohe	EasternQiandong	EasternXiangxi	Numao	WesternBaheng	WesternLuobuohe	WesternQiandong	WesternXiangxi	Younuo	ZaoMin	COGNATESETS	CONCEPTS
669-3	t	3	⁵⁵	²⁴	²⁴	⁴⁴	Ø	²⁴	⁴⁴	¹³	⁴⁴	³⁵	³⁵	³³	⁵³	Ø	⁴²	10315:4, 8797:2, 2066:3	coal / sleeve / tree
758-3	t	3	⁵⁵	²⁴	¹³	²¹	⁵⁵	²⁴	⁴⁴	³⁵	⁴²	⁵⁵	³⁵	³³	⁴⁴	⁵⁴	⁴²	10422:3, 541:2, 7520:3	be hungry / pull / umbrella
1040-3	t	3	⁵⁵	³⁵	⁴²	²¹	⁵³	³³	³⁵	³⁵	¹³	³³	⁵⁵	¹¹	⁴⁴	⁵⁵	Ø	11253:3, 3528:4, 11222:2	daughter / fan (can be held by single hand) / girl / younger brother / younger sister
1175-3	t	3	⁵⁵	⁵³	⁴²	³³	⁵⁵	³¹	³⁵	³¹	⁵⁵	⁵⁵	³¹	⁴⁴	³⁵	⁴⁴	⁴²	7623:2, 4990:2, 9346:3	hit (a person) / rabbit / step
1239-3	t	3	⁵⁵	Ø	³¹	³³	³³	⁵	³⁵	³³	⁴⁴	³	Ø	¹¹	⁴⁴	⁴⁴	²⁴	4956:3, 7417:2, 310:2	ant / hide (something) / peanut / point at / tiger
1372-3	t	3	⁵⁵	³⁵	²	³¹	⁵⁵	³¹	³³	⁵⁵	¹³	³⁵	Ø	¹³	³⁵	⁵⁴	²²	5381:2, 417:3, 3667:3	awl / fight / intestine
194-2	t	2	⁵⁵	²⁴	⁴²	⁴⁴	⁵⁵	²⁴	⁴⁴	³³	⁴⁴	⁵⁵	³⁵	³³	³⁵	⁵⁴	⁴²	8124:2, 3687:2	file / saw
356-2	t	2	⁵⁵	⁵³	⁵⁵	⁵⁵	³¹³	⁵⁵	³³	⁵⁵	³³	³¹	³¹	³³	⁵³	⁴⁴	⁴²	9941:4, 2726:3	defecate / pee / think
357-2	t	2	⁵⁵	⁵³	⁴²	³³	⁵³	³³	²⁴	³⁵	⁴⁴	⁵³	³¹	⁴⁴	⁴⁴	⁵⁴	⁴⁴	10770:3, 2306:3	cooked rice / weave
447-2	t	2	⁵⁵	Ø	¹³	⁵⁵	³¹³	⁵⁵	³³	Ø	¹³	³	³¹	¹³	⁴⁴	Ø	²⁴	11252:3, 5086:2	hook / pillow / younger brother / younger sister
465-2	t	2	⁵⁵	Ø	Ø	³³	⁵⁵	³³	Ø	³³	⁵³	⁵⁵	³¹	³³	³⁵	⁵⁴	⁴²	9482:2, 5722:2	left / stove
517-2	t	2	⁵⁵	³⁵	⁴²	³³	⁵³	³¹	³⁵	⁵³	Ø	⁵³	²	Ø	⁴⁴	²¹	Ø	7668:2, 6925:2	belly / maize/ corn / old man / rainbow
552-2	t	2	⁵⁵	³³	⁵⁵	⁴⁴	³⁵	³¹	Ø	³⁵	³³	³⁵	³¹	⁴⁴	⁴⁴	⁴⁴	Ø	5082:2, 2439:3	crab / hook / shrimp
630-2	t	2	⁵⁵	²⁴	Ø	³¹	⁵⁵	Ø	⁴⁴	⁵⁵	Ø	⁵⁵	⁵⁵	²²	²²	⁵⁴	²⁴	9432:4, 4240:4	garlic / stool (bench)
670-2	t	2	⁵⁵	Ø	²⁴	⁴³	⁵⁵	Ø	Ø	⁵⁵	¹³	⁵⁵	Ø	³³	⁴⁴	⁵⁴	Ø	3060:2, 6520:2	dry in the sun / name
763-2	t	2	⁵⁵	²⁴	⁵⁵	Ø	Ø	³¹	⁴⁴	³³	³³	⁴⁴	³¹	⁵⁵	³¹	¹³	⁴²	145:3, 335:4	a lame person / arrow
783-2	t	2	⁵⁵	²⁴	²	²⁴	³¹³	³³	²⁴	⁵³	³³	³⁵	⁵⁵	³³	³⁵	⁵⁴	²²	7804:3, 8572:2	right (correct) / sickle
823-2	t	2	⁵⁵	Ø	⁴²	⁵⁵	⁵⁵	²⁴	⁵³	Ø	³³	³	³⁵	³³	³⁵	⁴⁴	Ø	1943:2, 5508:2	claw (talon) / kitchen
870-2	t	2	⁵⁵	²⁴	²	Ø	³¹³	²⁴	⁴⁴	³³	Ø	⁴⁴	Ø	³³	⁴⁴	⁵⁴	⁴²	7129:2, 10869:2	pants/ trousers / where
1026-2	t	2	⁵⁵	Ø	Ø	³¹	¹¹	⁵⁵	³⁵	³¹	⁵³	³³	³¹	⁵⁵	³¹	³³	Ø	8209:4, 957:3	boat / scissors
1115-2	t	2	⁵⁵	²⁴	²⁴	²⁴	³¹³	Ø	Ø	⁵⁵	³³	⁴²	Ø	²¹	Ø	²¹	²⁴	7204:2, 5716:2	left / peanut
18-1	t	1	⁵⁵	²⁴	⁴²	²⁴	⁵⁵	³³	⁴⁴	³³	⁴⁴	⁵⁵	³⁵	³³	³⁵	⁵⁴	²⁴	5786:3	letter
316-1	t	1	⁵⁵	Ø	³¹	Ø	³³	Ø	³³	⁵³	Ø	Ø	Ø	Ø	⁴⁴	Ø	²²	6041:2	maize/ corn
744-1	t	1	⁵⁵	Ø	Ø	Ø	⁵⁵	Ø	⁴⁴	Ø	Ø	Ø	Ø	¹¹	⁴⁴	Ø	Ø	8649:3	sing
1075-1	t	1	⁵⁵	Ø	Ø	Ø	Ø	Ø	Ø	³³	Ø	Ø	Ø	²²	⁵³	Ø	Ø	6018:3	lung
242-16	t	16	⁵³	²¹	⁵⁵	²⁴	³¹	³³	¹³	³⁵	⁴²	⁴²	³¹	⁵³	²²	²¹	²²	3282:3, 9118:4, 4383:3, 9804:2, 10353:2, 4353:4, 5835:4, 6538:2, 1893:2, 10253:4, 1895:3, 3668:2, 10257:3, 460:2, 2068:3, 4653:2	bad / bite / classifier for pairs / coal / eight / fight / glutinous rice / gnaw / grind (flour) / lightning / narrow / rob (somebody) / spicy / ten / tongue / twenty
1122-5	t	5	⁵³	⁴²	²²	²⁴	³¹	²⁴	⁵³	³⁵	⁴²	⁴²	³⁵	²²	³⁵	²¹	²²	4757:2, 4652:3, 8011:2, 536:2, 4517:2	be hungry / grandfather / grind (flour) / hat / run away / walk
1009-4	t	4	⁵³	³¹	²²	¹³	³¹	²⁴	⁵³	⁵⁵	⁴⁴	⁴⁴	³⁵	²²	³¹	¹³	²²	5232:3, 1288:3, 586:2, 10837:2	be shy/bashful / burn / hug (embrace) / what
1206-4	t	4	⁵³	³³	¹³	⁴⁴	⁵⁵	²⁴	⁴⁴	³³	⁴⁴	⁵³	³⁵	²¹	⁴⁴	³³	⁴²	9185:3, 147:2, 2175:2, 8391:3	a lame person / clothing (garment) / collar / shallow / spit
1212-4	t	4	⁵³	³⁵	²⁴	⁴⁴	³¹³	⁵⁵	³³	⁵⁵	⁵³	³¹	⁵⁵	¹³	³⁵	²¹	Ø	7305:3, 4670:2, 10196:2, 1613:3	cattle (bos taurus) / hair / pestle / tomorrow
1236-4	t	4	⁵³	⁴²	³¹	²¹	³¹	Ø	⁵³	¹³	⁵³	⁴⁴	³¹	Ø	⁵³	²¹	²²	8323:4, 6837:2, 1030:3, 8694:3	book / now / seven / sit / twenty
1362-4	t	4	⁵³	Ø	⁴²	³³	³³	⁵	⁵³	¹³	⁴⁴	⁴²	Ø	²¹	⁵³	³²	²²	3647:2, 3864:3, 5551:3, 10423:2	field / flow / lack (not have) / umbrella
1375-4	t	4	⁵³	³¹	⁴²	³³	⁵³	³³	⁵³	³	¹³	⁵³	³¹	¹¹	⁴²	¹³	Ø	2816:2, 5425:2, 2539:3, 5350:3	cupboard / dig / inside / itch
959-3	t	3	⁵³	Ø	³¹	¹³	⁵³	²⁴	⁵³	³⁵	³³	⁴²	³⁵	⁵³	⁴⁴	³²	⁴⁴	6888:3, 556:2, 3534:3	be (copula) / be not (negated copula) / fan (can be held by single hand) / mother / old lady
962-3	t	3	⁵³	²¹	⁵⁵	Ø	³¹	⁵	³³	³⁵	⁴²	⁴²	³¹	Ø	⁵³	⁵⁴	Ø	9369:2, 3529:4, 2639:2	day / fan (can be held by single hand) / step (verb)
1045-3	t	3	⁵³	³¹	³¹	³¹	³	³¹	²²	³¹	⁵⁵	⁵⁵	³¹	³³	³¹	¹³	²²	11181:3, 4699:3, 8361:3	hammer / shadow / you (plural)
1089-3	t	3	⁵³	³³	⁴²	⁴⁴	¹¹	⁵⁵	²⁴	³¹	Ø	⁵⁵	⁵⁵	⁴⁴	⁵³	³³	Ø	1665:3, 7048:2, 9141:3	chaff/ bran / day after tomorrow / outside / spider
1220-3	t	3	⁵³	⁴²	⁵⁵	⁴³	³⁵	³¹	²²	³³	Ø	³⁵	³¹	⁵³	³⁵	Ø	²²	3646:2, 6210:2, 10106:3	field / monkey / to wind( thread one a keel)
1253-3	t	3	⁵³	Ø	²⁴	⁵⁵	³	⁵	²⁴	³³	⁵⁵	³	Ø	³³	⁴⁴	⁴⁴	Ø	2070:2, 10160:2, 10816:2	coal / fire / morning / skirt / toilet / wet
1260-3	t	3	⁵³	⁴²	⁴²	¹³	³¹	Ø	Ø	¹³	³¹	⁴⁴	³⁵	²²	Ø	²¹	Ø	8550:4, 2745:2, 5286:2	dew / husband / sick
1313-3	t	3	⁵³	³¹	³¹	²¹	³¹	Ø	⁵³	³⁵	³³	⁴²	Ø	Ø	⁴²	²¹	⁵³	1302:2, 631:3, 1179:3	be tired / bright / bury
1316-3	t	3	⁵³	⁵³	¹³	⁵⁵	⁵⁵	⁵	²¹²	⁵³	³¹	³⁵	³⁵	³³	⁴²	Ø	Ø	8493:3, 10571:3, 209:3	afternoon / shoulder / village
1376-3	t	3	⁵³	⁵³	⁴²	Ø	³³	Ø	Ø	³⁵	³¹	Ø	³¹	⁵³	⁴⁴	¹³	Ø	9460:2, 10107:2, 204:2	afternoon / story / to wind( thread one a keel)
121-2	t	2	⁵³	²¹	⁵⁵	²⁴	³¹	³³	¹³	⁵⁵	⁴²	⁴²	³¹	⁵³	⁴⁴	²¹	²²	8268:3, 651:2	bean / see
172-2	t	2	⁵³	Ø	²⁴	⁴³	³⁵	³¹	²⁴	⁵³	⁵³	⁵⁵	⁵⁵	⁴⁴	³⁵	⁴⁴	⁴⁴	10734:2, 8098:3	sand / stone / we
193-2	t	2	⁵³	⁴²	³¹	¹³	¹¹	⁵⁵	²¹²	⁵⁵	⁵³	¹¹	⁵⁵	²¹	²²	³²	⁴⁴	5148:2, 11153:3	horse / yesterday
429-2	t	2	⁵³	Ø	²	⁴³	³	³³	⁴⁴	⁵⁵	³³	³	³³	³³	³⁵	³²	⁴⁴	8101:3, 3387:2	branch/ twig / dust / evening / sand / smoke
436-2	t	2	⁵³	⁵³	³¹	²⁴	⁵³	³¹	²⁴	³³	³¹	⁵⁵	³¹	⁴⁴	³⁵	²¹	⁴⁴	3416:3, 10573:2	everybody / village
553-2	t	2	⁵³	⁵³	²⁴	⁵⁵	³¹³	⁵⁵	Ø	³⁵	³¹	³¹	Ø	²¹	⁵³	³²	⁵³	6969:2, 5688:3	leech / oneself
1139-2	t	2	⁵³	³¹	Ø	³³	⁵³	³¹	⁴⁴	¹³	Ø	Ø	³¹	⁵⁵	Ø	⁵⁴	⁴²	7769:3, 11114:3	right / year
1078-1	t	1	⁵³	Ø	Ø	Ø	Ø	Ø	³³	Ø	Ø	Ø	Ø	Ø	Ø	³³	²⁴	8355:3	shadow
4-42	t	42	⁴⁴	³⁵	¹³	⁵⁵	³¹³	⁵⁵	³³	⁵⁵	¹³	³¹	⁵⁵	¹³	⁴⁴	³³	²⁴	4223:3, 7867:3, 9759:3, 4888:3, 5927:3, 1201:3, 7239:3, 353:2, 3152:3, 9269:2, 10668:3, 3028:2, 1026:3, 10067:2, 8054:2, 4021:3, 8975:3, 10276:3, 6089:2, 2209:3, 66:3, 501:2, 1049:3, 2125:4, 4146:2, 4865:3, 9570:4, 9636:2, 10490:2, 10600:2, 236:3, 340:2, 2177:3, 5288:2, 5382:2, 8076:2, 8269:2, 8980:2, 9524:3, 9824:2, 10524:3, 10956:2	I / alcoholic beverage / arrow / ash / bamboo / book / bow / broom / coffin / collar / column / drunk / early / forget / front / fruit / full / heart / heavy / house / husband / intestine / long / mat / paper / pear / road / salt / salty / see / son-in-law / stand / stand up / stupid / swallow / sweep / tail / that / tiger / tooth / untie / vegetable knife / vomit / wash (dishes) / wife
1320-6	t	6	⁴⁴	³⁵	¹³	⁵⁵	³¹³	⁵⁵	²⁴	¹³	¹³	³¹	⁵⁵	¹¹	⁴⁴	¹³	⁵³	4560:3, 7626:3, 1096:2, 6586:2, 6790:3, 8910:2	brains / grape / navel / nose / rabbit / sock (stocking)
804-5	t	5	⁴⁴	³³	¹³	⁵⁵	⁵⁵	⁵⁵	⁴⁴	⁵⁵	⁴²	³¹	⁵⁵	¹³	⁴⁴	²¹	²⁴	5859:3, 461:2, 9232:2, 10109:2, 2473:2	bad / crow / liquor (sweet) / squeeze / to wind( thread one a keel) / ugly
631-4	t	4	⁴⁴	³⁵	²⁴	⁴³	⁵⁵	³¹	²⁴	⁵³	³³	³	³¹	⁴⁴	³⁵	Ø	²⁴	9635:2, 8495:2, 9299:2, 10834:2	shoulder / star / sweep / thunder / what
641-4	t	4	⁴⁴	³⁵	¹³	⁵⁵	⁵⁵	⁵⁵	³³	⁵⁵	³³	⁵⁵	⁵⁵	¹³	⁴⁴	³³	²⁴	2493:4, 4565:3, 1344:2, 3223:2	butterfly / cry / easy / grape
1222-4	t	4	⁴⁴	³¹	¹³	⁵⁵	⁵³	⁵⁵	Ø	³¹	¹³	³¹	³⁵	¹³	⁴⁴	¹³	²⁴	8460:3, 11012:3, 7287:2, 10634:3	kitchen / peel (something) / shoot (an arrow) / wall / window
1368-4	t	4	⁴⁴	Ø	²⁴	³³	⁵³	⁵⁵	³³	³	³³	³⁵	Ø	¹³	³⁵	³	Ø	1454:3, 2544:2, 3917:2, 7667:2	can (jar) / collar / cupboard / fly (insect) / rainbow
496-3	t	3	⁴⁴	³⁵	¹³	⁵⁵	⁵³	⁵⁵	³³	³⁵	¹³	³¹	⁵⁵	¹³	⁴⁴	³³	²⁴	4843:3, 8250:2, 7750:2	glutinous rice / hear / rice / scratch
550-3	t	3	⁴⁴	³⁵	²	⁵⁵	³³	⁵⁵	Ø	⁵⁵	¹³	³¹	⁵⁵	⁴⁴	⁴⁴	³³	²⁴	10157:2, 9821:3, 10790:3	that / toilet / well
558-3	t	3	⁴⁴	³⁵	¹³	³¹	³¹³	⁵⁵	³³	⁵⁵	¹³	³¹	³¹	¹³	⁴⁴	³³	²⁴	10938:4, 1095:2, 4062:3	brains / fox / wide
623-3	t	3	⁴⁴	³⁵	¹³	⁵⁵	³¹³	³³	⁴⁴	⁵⁵	³³	³¹	³¹	³³	⁴⁴	⁴⁴	⁴⁴	9924:4, 3664:2, 2007:2	close (the door) / dry / fight / thin (slim)
667-3	t	3	⁴⁴	³³	¹³	⁵⁵	³¹³	⁵⁵	³³	³	¹³	³¹	⁵⁵	¹³	⁴⁴	³³	²²	9544:3, 5292:3, 6261:2	cave/ hole / husband / morning / sun
698-3	t	3	⁴⁴	Ø	⁴²	⁵⁵	³¹³	²	³³	⁵⁵	Ø	³¹	²	⁴⁴	⁴⁴	³³	⁴⁴	2018:2, 10654:3, 10475:2	clothing (garment) / undress (take off clothes) / want (need)
759-3	t	3	⁴⁴	²⁴	⁴²	⁵⁵	⁵³	³¹	³³	⁵⁵	Ø	⁴²	⁵⁵	¹³	⁴⁴	¹³	²⁴	2088:3, 7723:4, 10866:2	cock / return / where / which
796-3	t	3	⁴⁴	³⁵	¹³	⁴³	³¹³	⁵⁵	³⁵	⁵⁵	¹³	³¹	⁵⁵	¹³	⁴⁴	³	²⁴	2513:3, 3326:2, 10597:2	cucumber / elder sister / peach / vomit
1047-3	t	3	⁴⁴	³⁵	²⁴	⁴³	⁵⁵	²	¹³	⁵⁵	Ø	⁵³	²	¹¹	⁴⁴	³³	²⁴	87:4, 1099:3, 4060:2	a blind person / brains / flour / fox / head / thief
1157-3	t	3	⁴⁴	³¹	⁵⁵	⁴³	³³	³³	²⁴	³⁵	⁴⁴	³³	⁵⁵	¹³	Ø	³³	⁴⁴	11000:4, 2879:3, 7433:3	dissolve / pond / window
1163-3	t	3	⁴⁴	³¹	²⁴	⁵⁵	⁵⁵	⁵⁵	³³	³³	³³	³¹	³¹	³³	⁵³	⁵⁴	⁵³	1226:2, 8099:2, 10277:2	brush / sand / tooth
1171-3	t	3	⁴⁴	Ø	²	⁴³	³	⁵⁵	³³	³	⁵⁵	³	⁵⁵	³³	³⁵	³	⁵³	6087:2, 5426:2, 273:2	and / itch / mat / wing
1182-3	t	3	⁴⁴	⁵³	⁴²	⁵⁵	¹¹	⁵⁵	³⁵	¹³	⁴⁴	Ø	⁵⁵	¹³	⁵³	¹³	⁴²	9454:2, 1540:3, 2567:2	carry / dark / story
1291-3	t	3	⁴⁴	Ø	¹³	⁴⁴	⁵⁵	³¹	²¹²	¹³	⁵⁵	³¹	Ø	¹³	²²	³³	Ø	1962:3, 7272:2, 2966:2	clean / defecate / dragonfly / pee
1305-3	t	3	⁴⁴	³⁵	¹³	⁴³	³¹³	Ø	²⁴	³³	Ø	Ø	Ø	¹¹	³⁵	⁴⁴	⁴⁴	2852:3, 8210:2, 2350:3	cough / dirty / scissors
1354-3	t	3	⁴⁴	Ø	¹³	⁵⁵	Ø	⁵⁵	⁴⁴	⁵³	³³	Ø	⁵⁵	¹³	³⁵	²¹	⁴²	10333:4, 6263:2, 2911:2	dog / morning / turn around
3-2	t	2	⁴⁴	³⁵	¹³	⁴⁴	³¹³	⁵⁵	³³	⁵⁵	¹³	³¹	⁵⁵	¹³	⁴⁴	³³	²⁴	1002:4, 8474:3	bone / short
158-2	t	2	⁴⁴	⁴²	¹³	³¹	³¹³	⁵⁵	³³	⁵⁵	¹³	³¹	⁵⁵	¹³	⁴⁴	³³	²⁴	1374:2, 1253:2	bull / buttocks
186-2	t	2	⁴⁴	³⁵	¹³	⁵⁵	³¹³	⁵⁵	³³	⁵⁵	¹³	³¹	⁵⁵	¹³	⁴⁴	⁴⁴	²⁴	5977:3, 4782:2	have a fever / louse
394-2	t	2	⁴⁴	⁵³	⁵⁵	²⁴	⁵⁵	³¹	Ø	⁵³	¹³	⁵⁵	³¹	¹¹	³¹	⁵⁵	Ø	3981:3, 9717:3	foot (=1/3 meter) / swim
444-2	t	2	⁴⁴	³⁵	⁴²	⁵⁵	Ø	⁵⁵	³³	³³	³³	Ø	⁵⁵	¹³	⁵³	¹³	Ø	5032:3, 1811:4	choose / hold or take
471-2	t	2	⁴⁴	³¹	²	⁴⁴	³	⁵	³³	⁵⁵	Ø	Ø	⁵⁵	¹³	⁴⁴	³³	Ø	2309:3, 6555:2	congee (gruel, porridge) / cooked rice / nasal mucus
525-2	t	2	⁴⁴	³³	¹³	⁵⁵	³⁵	⁵	²⁴	³³	⁵³	Ø	³¹	⁴⁴	⁴⁴	⁴⁴	⁴⁴	3300:2, 3997:4	elder brother / forenoon / noon / owl
527-2	t	2	⁴⁴	³⁵	⁴²	³³	³¹³	⁵⁵	³³	⁵⁵	¹³	³¹	⁵⁵	¹³	⁴⁴	³²	Ø	10492:2, 2289:3	cook (boil) / untie
556-2	t	2	⁴⁴	Ø	¹³	⁵⁵	³¹³	⁵⁵	Ø	³⁵	¹³	Ø	⁵⁵	Ø	⁵³	³²	Ø	1555:2, 5166:2	carry on shoulder / hot
581-2	t	2	⁴⁴	Ø	²²	Ø	³¹³	³³	³³	Ø	¹³	Ø	⁵⁵	⁵³	⁴⁴	³³	Ø	308:4, 5190:3	ant / hot pepper/ chili
705-2	t	2	⁴⁴	³³	¹³	⁵⁵	⁵⁵	²	³³	⁵⁵	Ø	³¹	²	⁵³	⁴⁴	³³	⁴⁴	2170:2, 9205:3	collar / sleeve / spoon
850-2	t	2	⁴⁴	⁵³	Ø	⁵⁵	³¹	²	⁴⁴	⁵⁵	Ø	¹¹	²	⁵⁵	⁴⁴	³³	⁵³	4741:2, 5596:2	hard / last year
880-2	t	2	⁴⁴	⁵³	¹³	⁴³	⁵³	²	²¹²	³⁵	¹³	³	²	¹³	³⁵	¹³	Ø	3325:2, 9070:3	elder sister / sparrow
968-2	t	2	⁴⁴	³⁵	⁵⁵	⁴⁴	⁵⁵	³¹	Ø	¹³	³³	Ø	³¹	²²	⁵³	⁵⁴	Ø	4611:3, 1194:2	broom / grave
1000-2	t	2	⁴⁴	Ø	³¹	Ø	⁵³	²⁴	⁴⁴	³⁵	⁴⁴	Ø	³⁵	Ø	⁵³	⁵⁴	⁴²	2746:3, 5719:2	dew / left
1024-2	t	2	⁴⁴	Ø	²⁴	Ø	³¹³	⁵⁵	³³	¹³	¹³	³¹	⁵⁵	¹³	Ø	³³	²⁴	5384:3, 4352:3	belly / glutinous rice / intestine / rice
1138-2	t	2	⁴⁴	⁵³	²⁴	²¹	³⁵	²	Ø	Ø	Ø	⁵³	²	⁴⁴	⁵³	³²	Ø	6481:2, 11251:4	nail / younger sister
1263-2	t	2	⁴⁴	³⁵	²⁴	Ø	⁵⁵	³³	Ø	³³	Ø	Ø	⁵⁵	³³	⁴⁴	Ø	Ø	1568:2, 7206:3	cat / peanut
14-1	t	1	⁴⁴	³⁵	¹³	⁵⁵	⁵³	⁵⁵	³³	⁵⁵	¹³	³¹	⁵⁵	¹³	⁴⁴	³³	²⁴	4116:4	frog
1077-1	t	1	⁴⁴	Ø	¹³	Ø	Ø	³³	Ø	Ø	Ø	Ø	Ø	Ø	Ø	³³	Ø	8008:3	run away
1279-4	t	4	⁴	³⁵	³¹	²¹	³	⁵⁵	³³	³³	¹³	³	⁵⁵	³³	⁵³	³³	⁴²	88:2, 5691:4, 1942:2, 3835:3	a blind person / a deaf person / a person with a pockmarked face / box / claw (talon) / flour / leech / swallow
1181-3	t	3	⁴	⁵³	²²	Ø	³⁵	³¹	²⁴	³	⁵³	³	²	⁴⁴	⁴⁴	¹³	⁴⁴	3194:3, 9569:2, 7524:2	earthworm / pull / sister-in-law (older brother's wife) / swallow
1185-3	t	3	⁴	³³	⁵⁵	⁵⁵	³	⁵⁵	³³	³¹	⁵³	⁴⁴	⁵⁵	⁵⁵	³⁵	Ø	Ø	1685:2, 4241:3, 419:2	awl / chair / garlic
1370-3	t	3	⁴	Ø	²	⁴³	³	²⁴	⁴⁴	¹³	³³	Ø	³⁵	³³	³⁵	⁵⁵	Ø	3819:3, 8599:2, 2538:2	coffin / cupboard / day / float / moon / side / sun
1379-3	t	3	⁴	³¹	⁵⁵	Ø	⁵³	⁵	²¹²	³	Ø	³	²	⁴⁴	³⁵	²¹	²²	2541:2, 4537:2, 1965:2	clean / cupboard / grandmother
326-2	t	2	⁴	⁵³	⁴²	¹³	³	²	¹³	³	¹³	³	²	¹³	³⁵	³²	Ø	119:2, 5290:2	a deaf person / ash / axe / bamboo / broom / can (jar) / cat / chaff/ bran / chopsticks / dove / dust / ear / elder brother / father / frost / goose / grandfather / hammer / hoe / husband / left / mat / maternal uncle (mother's brother) / moon / mother / mouse / navel / nose / owl / pants/ trousers / pond / quilt / rabbit / right / river snails / saw / scales / scissors / shoulder / smoke / step / stone / table / toilet / tongs / tongue / vegetable knife / village / well / younger brother / younger sister
668-2	t	2	⁴	²⁴	⁵⁵	⁴³	Ø	³³	²⁴	Ø	Ø	³⁵	⁵⁵	Ø	³⁵	Ø	Ø	418:3, 3957:3	awl / foot
1106-2	t	2	⁴	⁵³	³¹	¹³	³	³³	³³	³⁵	Ø	Ø	¹¹	¹¹	⁴⁴	Ø	Ø	2352:3, 148:2	a lame person / cough
753-1	t	1	⁴	⁵³	²⁴	²¹	³	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	Ø	11001:2	window
773-3	t	3	Ø	⁴²	¹³	⁵⁵	³³	⁵⁵	²⁴	⁵⁵	⁴⁴	³	⁵⁵	⁴⁴	⁴⁴	³	²²	5353:3, 7132:2, 10737:3	inside / pants/ trousers / under / we
779-3	t	3	Ø	³³	²⁴	⁵⁴	³¹	³¹	Ø	⁵³	³³	⁴⁴	³¹	²²	³⁵	⁴⁴	⁴²	4044:3, 906:4, 10870:2	black / four / where
902-3	t	3	Ø	²⁴	⁴²	⁴⁴	⁵⁵	²⁴	²²	¹³	³¹	⁵⁵	³⁵	³³	³¹	⁵⁴	⁴²	6019:4, 977:2, 692:3	bed / boiled water / lung
