ID	STRUCTURE	FREQUENCY	Bana	BiaoMin	CentralGuizhouChuanqiandian	Chuanqiandian	EasternBahen	EasternLuobuohe	EasternQiandong	EasternXiangxi	Numao	WesternBaheng	WesternLuobuohe	WesternQiandong	WesternXiangxi	Younuo	ZaoMin	COGNATESETS	CONCEPTS
1041-6	t	6	⁵⁵	⁵³	⁴²	³³	⁵³	²	³⁵	³³	⁴⁴	⁵³	²	¹¹	⁴⁴	⁵⁵	⁴⁴	3077:3, 4381:3, 2004:2, 2851:2, 7504:3, 9233:2	close (the door) / dirty / duck / gnaw / press / squeeze
431-5	t	5	⁵⁵	Ø	⁵⁵	Ø	⁵³	²⁴	¹³	³⁵	⁴²	⁴²	³⁵	⁵³	²²	⁵⁵	Ø	2403:3, 4922:3, 6541:2, 4357:2, 11255:2	a lame person / cow / glutinous rice / hen / narrow / younger sister
1011-5	t	5	⁵⁵	²⁴	⁴²	³³	⁵³	³³	³⁵	⁵³	⁴⁴	³⁵	³¹	¹¹	⁴⁴	²¹	⁴²	6587:2, 803:2, 3665:3, 3451:2, 7603:3	bend (curved) / extinguish / fight / navel / quilt / rob (somebody)
788-4	t	4	⁵⁵	Ø	⁴²	³³	⁵³	³³	³⁵	³⁵	⁴⁴	⁵³	⁵⁵	¹¹	⁴⁴	⁵⁵	²²	11037:4, 5316:3, 2474:2, 8197:2	crow / inhale / scissor / wing
883-4	t	4	⁵⁵	³⁵	¹³	²⁴	³¹³	⁵⁵	³³	¹³	³¹	³¹	⁵⁵	³³	⁴⁴	³	²⁴	5903:2, 6589:2, 309:2, 4489:3	ant / gourd / lock / navel
919-4	t	4	⁵⁵	⁴²	³¹	²¹	³	⁵⁵	³⁵	⁵⁵	⁵³	¹¹	⁵⁵	Ø	²²	³²	⁴⁴	3918:3, 6294:3, 8193:3, 3301:2	elder brother / fly (insect) / mosquito / scissor
1046-4	t	4	⁵⁵	⁴²	²²	¹³	¹¹	²⁴	⁵³	¹³	³¹	⁴⁴	³⁵	²²	⁴⁴	¹³	²²	8936:4, 9899:3, 1372:3, 6353:3	buttocks / mountain / soft / thief
1178-4	t	4	⁵⁵	⁵³	¹³	⁵⁵	³⁵	²⁴	Ø	⁵³	³¹	⁵⁵	³⁵	¹³	⁵³	⁵⁴	²⁴	2370:3, 2258:3, 9574:3, 9573:2	congee (gruel, porridge) / count / swallow
1321-4	t	4	⁵⁵	⁴²	²⁴	Ø	³¹³	⁵	³⁵	¹³	⁵³	³⁵	⁵⁵	²²	³⁵	⁴⁴	⁵³	1569:4, 10838:2, 33:2, 4079:3	Chinese cabbage / cat / fragrant (smell) / what
164-3	t	3	⁵⁵	Ø	⁴²	³³	⁵³	³³	³⁵	³⁵	⁴⁴	⁵³	³¹	¹¹	⁴⁴	²¹	Ø	2988:2, 7030:2, 2566:3	dark / drink / open (a door)
549-3	t	3	⁵⁵	²⁴	⁴²	⁴⁴	⁵⁵	²⁴	⁴⁴	³³	⁴⁴	⁵⁵	⁵⁵	³³	⁵³	Ø	⁴⁴	9702:3, 10090:4, 8847:2	smoke / swell (of tissue) / to smell
