ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY
18159	737	(flowers) blossom	EasternLuobuohe	Luobuohe, Eastern	zo²⁴	zo²⁴	z o ²⁴	luop1235	3287	26.63966	107.913354	
18160	737	(flowers) blossom	WesternLuobuohe	Luobuohe, Western	ðo³⁵	ðo³⁵	ð o ³⁵	luop1235	3287	26.854607	107.226676	
18161	737	(flowers) blossom	Chuanqiandian	Chuanqiandian	teu¹³	teu¹³	t eu ¹³	chua1256	3287	27.51846	105.421028	
18162	737	(flowers) blossom	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	tə²²	tə²²	t ə ²²	nort2749	3287	26.231562	106.861969	
18163	737	(flowers) blossom	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	tə¹³	tə¹³	t ə ¹³	cent1394	3287	25.586343	106.323467	
18164	737	(flowers) blossom	NortheastYunnanChuanqiandian	Chuanqiandian, Northeast Yunnan	dɦey³¹	dɦey³¹	dʱ ey ³¹	larg1235	3287	27.096059	103.698607	
18165	737	(flowers) blossom	WesternXiangxi	Xiangxi, West	tə⁴²	tə⁴²	t ə ⁴²	west2430	3287	28.33212	109.422366	
18166	737	(flowers) blossom	EasternXiangxi	Xiangxi, East	kʰai⁵⁵	kʰai⁵⁵	kʰ ai ⁵⁵	east2371	3287	28.124036	109.890473	
18167	737	(flowers) blossom	NorthernQiandong	Qiandong, North	pʰu³⁵	pʰu³⁵	pʰ u ³⁵	nort2747	3287	26.68993	108.401145	
18168	737	(flowers) blossom	EasternQiandong	Qiandong, East	to⁵³	to⁵³	t o ⁵³	east2370	3287	27.78098	110.499463	
18169	737	(flowers) blossom	SouthernQiandong	Qiandong, South	pʰu⁵³	pʰu⁵³	pʰ u ⁵³	sout2754	3287	25.520166	108.779365	
18170	737	(flowers) blossom	WesternQiandong	Qiandong, West	to²²	to²²	t o ²²		3287	26.43106	107.68758	
18171	737	(flowers) blossom	WesternBaheng	Baheng, West	pɔ⁵³	pɔ⁵³	p ɔ ⁵³	pahn1237	3287	25.74971	109.286281	
18172	737	(flowers) blossom	EasternBahen	Baheng, East	pau⁵³	pau⁵³	p au ⁵³	pahn1237	3287	27.11733	111.02615	
18173	737	(flowers) blossom	Dongnu	Dongnu	tu²²	tu²²	t u ²²	dong1287	3287	24.201523	107.957327	
18174	737	(flowers) blossom	Nunu	Nunu	xai³³	xai³³	x ai ³³	nunu1247	3287	24.232341	107.194266	
18175	737	(flowers) blossom	Numao	Numao	to³¹	to³¹	t o ³¹	numa1251	3287	25.447767	108.064732	
18176	737	(flowers) blossom	Bana	Bana	kʰa¹³	kʰa¹³	kʰ a ¹³		3287	26.265147	110.096902	
18177	737	(flowers) blossom	Younuo	Younuo	kʰa⁴⁴	kʰa⁴⁴	kʰ a ⁴⁴	youn1235	3287	25.730893	110.115975	
18178	737	(flowers) blossom	She	She	kʰe²²	kʰe²²	kʰ e ²²	shee1238	3287	26.264261	110.096988	
18179	737	(flowers) blossom	Jiongnai	Jiongnai	ntʃʰe⁴⁴	ntʃʰe⁴⁴	ⁿtʃʰ e ⁴⁴	jion1236	3287	24.071002	110.105752	
18180	737	(flowers) blossom	Mien	Mien	goːi³³	goːi³³	g oːi ³³	iumi1238	3287	24.172823	110.054488	
18181	737	(flowers) blossom	KimMun	Kim Mun	goːi¹¹	goːi¹¹	g oːi ¹¹	kimm1245	3287	18.955781	109.86012	
18182	737	(flowers) blossom	BiaoMin	Biao Min	kʰɔi³³	kʰɔi³³	kʰ ɔi ³³	biao1254	3287	25.82286	111.29622	
18183	737	(flowers) blossom	ZaoMin	Zao Min	gai⁴⁴	gai⁴⁴	g ai ⁴⁴	dzao1238	3287	24.612303	112.266749	
20697	837	(rain) fall	EasternLuobuohe	Luobuohe, Eastern	ʔi⁵⁵ʔʑo³³	ʔi⁵⁵ʔʑo³³	ʔ i ⁵⁵ + ˀʑ o ³³	luop1235	1253	26.63966	107.913354	
20698	837	(rain) fall	WesternLuobuohe	Luobuohe, Western	ʔø³¹	ʔø³¹	ʔ ø ³¹	luop1235	1253	26.854607	107.226676	
20699	837	(rain) fall	Chuanqiandian	Chuanqiandian	lo²¹naŋ¹³	lo²¹naŋ¹³	l o ²¹ + n a ŋ ¹³	chua1256	1253	27.51846	105.421028	
20700	837	(rain) fall	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	lu¹¹naŋ¹³	lu¹¹naŋ¹³	l u ¹¹ + n a ŋ ¹³	cent1394	1253	25.586343	106.323467	
20701	837	(rain) fall	NortheastYunnanChuanqiandian	Chuanqiandian, Northeast Yunnan	lɦo¹¹naɯ⁵⁵	lɦo¹¹naɯ⁵⁵	lʱ o ¹¹ + n aɯ ⁵⁵	larg1235	1253	27.096059	103.698607	
20702	837	(rain) fall	WesternXiangxi	Xiangxi, West	ta³¹noŋ⁴²	ta³¹noŋ⁴²	t a ³¹ + n o ŋ ⁴²	west2430	1253	28.33212	109.422366	
20703	837	(rain) fall	EasternXiangxi	Xiangxi, East	da³¹naŋ¹³	da³¹naŋ¹³	d a ³¹ + n a ŋ ¹³	east2371	1253	28.124036	109.890473	
20704	837	(rain) fall	NorthernQiandong	Qiandong, North	ta⁵⁵noŋ¹³	ta⁵⁵noŋ¹³	t a ⁵⁵ + n o ŋ ¹³	nort2747	1253	26.68993	108.401145	
20705	837	(rain) fall	SouthernQiandong	Qiandong, South	ljeu³¹nam²²	ljeu³¹nam²²	l j eu ³¹ + n a m ²²	sout2754	1253	25.520166	108.779365	
20706	837	(rain) fall	WesternQiandong	Qiandong, West	ta⁵⁵nuŋ²²	ta⁵⁵nuŋ²²	t a ⁵⁵ + n u ŋ ²²		1253	26.43106	107.68758	
20707	837	(rain) fall	WesternBaheng	Baheng, West	no¹¹	no¹¹	n o ¹¹	pahn1237	1253	25.74971	109.286281	
20708	837	(rain) fall	EasternBahen	Baheng, East	puŋ³⁵	puŋ³⁵	p u ŋ ³⁵	pahn1237	1253	27.11733	111.02615	
20709	837	(rain) fall	Dongnu	Dongnu	tɔ¹³nəŋ²²	tɔ¹³nəŋ²²	t ɔ ¹³ + n ə ŋ ²²	dong1287	1253	24.201523	107.957327	
20710	837	(rain) fall	Nunu	Nunu	tʰo⁴²	tʰo⁴²	tʰ o ⁴²	nunu1247	1253	24.232341	107.194266	
20711	837	(rain) fall	Numao	Numao	lau⁵³	lau⁵³	l au ⁵³	numa1251	1253	25.447767	108.064732	
20712	837	(rain) fall	Bana	Bana	nuŋ²²	nuŋ²²	n u ŋ ²²		1253	26.265147	110.096902	
20713	837	(rain) fall	Younuo	Younuo	to¹³	to¹³	t o ¹³	youn1235	1253	25.730893	110.115975	
20714	837	(rain) fall	She	She	nu³³	nu³³	n u ³³	shee1238	1253	26.264261	110.096988	
20715	837	(rain) fall	Jiongnai	Jiongnai	ɬo³⁵	ɬo³⁵	ɬ o ³⁵	jion1236	1253	24.071002	110.105752	
20716	837	(rain) fall	Mien	Mien	tui³¹	tui³¹	t ui ³¹	iumi1238	1253	24.172823	110.054488	
20717	837	(rain) fall	KimMun	Kim Mun	lo¹¹	lo¹¹	l o ¹¹	kimm1245	1253	18.955781	109.86012	
20718	837	(rain) fall	BiaoMin	Biao Min	tui³¹	tui³¹	t ui ³¹	biao1254	1253	25.82286	111.29622	
20719	837	(rain) fall	ZaoMin	Zao Min	ga²²	ga²²	g a ²²	dzao1238	1253	24.612303	112.266749	
5488	223	(rice) seedling	EasternLuobuohe	Luobuohe, Eastern	qo⁰⁵ʔjaŋ³¹	qo⁰⁵ʔjaŋ³¹	q o ⁰/⁵ + ˀj a ŋ ³¹	luop1235	3050	26.63966	107.913354	
5489	223	(rice) seedling	WesternLuobuohe	Luobuohe, Western	ʔə⁰²ʔʑɑŋ³¹	ʔə⁰²ʔʑɑŋ³¹	ʔ ə ⁰/² + ˀʑ ɑ ŋ ³¹	luop1235	3050	26.854607	107.226676	
5490	223	(rice) seedling	Chuanqiandian	Chuanqiandian	ʑo⁴³	ʑo⁴³	ʑ o ⁴³	chua1256	3050	27.51846	105.421028	
5491	223	(rice) seedling	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	ʑə̃²⁴	ʑə̃²⁴	ʑ ə̃ ²⁴	nort2749	3050	26.231562	106.861969	
5492	223	(rice) seedling	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	ʑoŋ³²	ʑoŋ³²	ʑ o ŋ ³²	cent1394	3050	25.586343	106.323467	
5493	223	(rice) seedling	NortheastYunnanChuanqiandian	Chuanqiandian, Northeast Yunnan	ʑu⁵⁵ndlɦi³⁵	ʑu⁵⁵ndlɦi³⁵	ʑ u ⁵⁵ + ⁿdʱ l i ³⁵	larg1235	3050	27.096059	103.698607	
5494	223	(rice) seedling	WesternXiangxi	Xiangxi, West	qo³⁵ʑɑŋ³⁵	qo³⁵ʑɑŋ³⁵	q o ³⁵ + ʑ ɑ ŋ ³⁵	west2430	3050	28.33212	109.422366	
5495	223	(rice) seedling	EasternXiangxi	Xiangxi, East	ʑaŋ⁵⁵	ʑaŋ⁵⁵	ʑ a ŋ ⁵⁵	east2371	3050	28.124036	109.890473	
5496	223	(rice) seedling	NorthernQiandong	Qiandong, North	ʑi³³	ʑi³³	ʑ i ³³	nort2747	3050	26.68993	108.401145	
5497	223	(rice) seedling	EasternQiandong	Qiandong, East	ʑi²⁴	ʑi²⁴	ʑ i ²⁴	east2370	3050	27.78098	110.499463	
5498	223	(rice) seedling	SouthernQiandong	Qiandong, South	ʑo¹³	ʑo¹³	ʑ o ¹³	sout2754	3050	25.520166	108.779365	
5499	223	(rice) seedling	WesternQiandong	Qiandong, West	ʑi⁴⁴	ʑi⁴⁴	ʑ i ⁴⁴		3050	26.43106	107.68758	
5500	223	(rice) seedling	WesternBaheng	Baheng, West	jaŋ³⁵	jaŋ³⁵	j a ŋ ³⁵	pahn1237	3050	25.74971	109.286281	
5501	223	(rice) seedling	EasternBahen	Baheng, East	ʑaŋ³⁵	ʑaŋ³⁵	ʑ a ŋ ³⁵	pahn1237	3050	27.11733	111.02615	
5502	223	(rice) seedling	Dongnu	Dongnu	tɬu⁵³	tɬu⁵³	tɬ u ⁵³	dong1287	3050	24.201523	107.957327	
5503	223	(rice) seedling	Nunu	Nunu	ʔlen³³tɕa³⁵	ʔlen³³tɕa³⁵	ˀl e n ³³ + tɕ a ³⁵	nunu1247	3050	24.232341	107.194266	
5504	223	(rice) seedling	Numao	Numao	ʑuŋ³³	ʑuŋ³³	ʑ u ŋ ³³	numa1251	3050	25.447767	108.064732	
5505	223	(rice) seedling	Bana	Bana	ʑon¹³	ʑon¹³	ʑ o n ¹³		3050	26.265147	110.096902	
5506	223	(rice) seedling	Younuo	Younuo	jeu⁴⁴	jeu⁴⁴	j eu ⁴⁴	youn1235	3050	25.730893	110.115975	
5507	223	(rice) seedling	She	She	jaŋ²²	jaŋ²²	j a ŋ ²²	shee1238	3050	26.264261	110.096988	
5508	223	(rice) seedling	Jiongnai	Jiongnai	jaŋ⁴⁴	jaŋ⁴⁴	j a ŋ ⁴⁴	jion1236	3050	24.071002	110.105752	
5509	223	(rice) seedling	Mien	Mien	ʑaŋ³³	ʑaŋ³³	ʑ a ŋ ³³	iumi1238	3050	24.172823	110.054488	
5510	223	(rice) seedling	KimMun	Kim Mun	zaːŋ³⁵	zaːŋ³⁵	z aː ŋ ³⁵	kimm1245	3050	18.955781	109.86012	
5511	223	(rice) seedling	BiaoMin	Biao Min	mjau³¹	mjau³¹	m j au ³¹	biao1254	3050	25.82286	111.29622	
5512	223	(rice) seedling	ZaoMin	Zao Min	bjau⁵³	bjau⁵³	b j au ⁵³	dzao1238	3050	24.612303	112.266749	
17395	706	(wind) blow	EasternLuobuohe	Luobuohe, Eastern	qwa³¹	qwa³¹	q w a ³¹	luop1235	175	26.63966	107.913354	
17396	706	(wind) blow	WesternLuobuohe	Luobuohe, Western	qwɑ³¹	qwɑ³¹	q w ɑ ³¹	luop1235	175	26.854607	107.226676	
17397	706	(wind) blow	Chuanqiandian	Chuanqiandian	kua²⁴	kua²⁴	k u/w a ²⁴	chua1256	175	27.51846	105.421028	
17398	706	(wind) blow	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	tɕe¹³	tɕe¹³	tɕ e ¹³	cent1394	175	25.586343	106.323467	
17399	706	(wind) blow	NortheastYunnanChuanqiandian	Chuanqiandian, Northeast Yunnan	kau³³	kau³³	k au ³³	larg1235	175	27.096059	103.698607	
17400	706	(wind) blow	WesternXiangxi	Xiangxi, West	kwɑ³¹	kwɑ³¹	k w ɑ ³¹	west2430	175	28.33212	109.422366	
17401	706	(wind) blow	EasternXiangxi	Xiangxi, East	kwa³¹	kwa³¹	k w a ³¹	east2371	175	28.124036	109.890473	
17402	706	(wind) blow	NorthernQiandong	Qiandong, North	ka³¹	ka³¹	k a ³¹	nort2747	175	26.68993	108.401145	
17403	706	(wind) blow	SouthernQiandong	Qiandong, South	kaŋ²²; kʰi³⁵	kaŋ²²	k a ŋ ²²	sout2754	175	25.520166	108.779365	
17404	706	(wind) blow	SouthernQiandong	Qiandong, South	kaŋ²²; kʰi³⁵	kʰi³⁵	kʰ i ³⁵	sout2754	175	25.520166	108.779365	
17405	706	(wind) blow	WesternBaheng	Baheng, West	pʰɔ³⁵	pʰɔ³⁵	pʰ ɔ ³⁵	pahn1237	175	25.74971	109.286281	
17406	706	(wind) blow	EasternBahen	Baheng, East	pʰjo³⁵	pʰjo³⁵	pʰ j o ³⁵	pahn1237	175	27.11733	111.02615	
17407	706	(wind) blow	Dongnu	Dongnu	tɕau⁴²	tɕau⁴²	tɕ au ⁴²	dong1287	175	24.201523	107.957327	
17408	706	(wind) blow	Nunu	Nunu	tei¹³	tei¹³	t ei ¹³	nunu1247	175	24.232341	107.194266	
17409	706	(wind) blow	Bana	Bana	kʰja³⁵	kʰja³⁵	kʰ j a ³⁵		175	26.265147	110.096902	
17410	706	(wind) blow	Younuo	Younuo	kwen²¹	kwen²¹	k w e n ²¹	youn1235	175	25.730893	110.115975	
17411	706	(wind) blow	She	She	kʰi³⁵	kʰi³⁵	kʰ i ³⁵	shee1238	175	26.264261	110.096988	
17412	706	(wind) blow	Jiongnai	Jiongnai	ʍa⁵⁵	ʍa⁵⁵	ʍ a ⁵⁵	jion1236	175	24.071002	110.105752	
17413	706	(wind) blow	Mien	Mien	kwaːi³¹	kwaːi³¹	k w aːi ³¹	iumi1238	175	24.172823	110.054488	
17414	706	(wind) blow	KimMun	Kim Mun	kʰwet¹¹	kʰwet¹¹	kʰ w e t ¹¹	kimm1245	175	18.955781	109.86012	
17415	706	(wind) blow	BiaoMin	Biao Min	klət⁵³	klət⁵³	k l ə t ⁵³	biao1254	175	25.82286	111.29622	
12019	492	1st day of the lunar month	EasternLuobuohe	Luobuohe, Eastern	sen³¹ʔi²⁴	sen³¹ʔi²⁴	s e n ³¹ + ʔ i ²⁴	luop1235	3354	26.63966	107.913354	
12020	492	1st day of the lunar month	WesternLuobuohe	Luobuohe, Western	sen³¹ʔi³⁵	sen³¹ʔi³⁵	s e n ³¹ + ʔ i ³⁵	luop1235	3354	26.854607	107.226676	
12021	492	1st day of the lunar month	Chuanqiandian	Chuanqiandian	sa⁴³ʔi⁴³	sa⁴³ʔi⁴³	s a ⁴³ + ʔ i ⁴³	chua1256	3354	27.51846	105.421028	
12022	492	1st day of the lunar month	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	sʰẽ²⁴ʔi²⁴	sʰẽ²⁴ʔi²⁴	sʰ ẽ ²⁴ + ʔ i ²⁴	nort2749	3354	26.231562	106.861969	
12023	492	1st day of the lunar month	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	sæn²²ʔei³²	sæn²²ʔei³²	s æ n ²² + ʔ ei ³²	cent1394	3354	25.586343	106.323467	
12024	492	1st day of the lunar month	NortheastYunnanChuanqiandian	Chuanqiandian, Northeast Yunnan	sie⁵⁵ʔi⁵⁵	sie⁵⁵ʔi⁵⁵	s i/j e ⁵⁵ + ʔ i ⁵⁵	larg1235	3354	27.096059	103.698607	
12025	492	1st day of the lunar month	WesternXiangxi	Xiangxi, West	ʔɑ⁴⁴n̥e³⁵ɬɑ⁵³	ʔɑ⁴⁴n̥e³⁵ɬɑ⁵³	ʔ ɑ ⁴⁴ + n̥ e ³⁵ + ɬ ɑ ⁵³	west2430	3354	28.33212	109.422366	
12026	492	1st day of the lunar month	EasternXiangxi	Xiangxi, East	ʔa³³n̥ei⁵³ɬa³³	ʔa³³n̥ei⁵³ɬa³³	ʔ a ³³ + n̥ ei ⁵³ + ɬ a ³³	east2371	3354	28.124036	109.890473	
12027	492	1st day of the lunar month	NorthernQiandong	Qiandong, North	n̥ɛ³³qɛ³⁵	n̥ɛ³³qɛ³⁵	n̥ ɛ ³³ + q ɛ ³⁵	nort2747	3354	26.68993	108.401145	
12028	492	1st day of the lunar month	EasternQiandong	Qiandong, East	nei²⁴ʔi²⁴	nei²⁴ʔi²⁴	n ei ²⁴ + ʔ i ²⁴	east2370	3354	27.78098	110.499463	
12029	492	1st day of the lunar month	SouthernQiandong	Qiandong, South	n̥o¹³tiŋ²⁴	n̥o¹³tiŋ²⁴	n̥ o ¹³ + t i ŋ ²⁴	sout2754	3354	25.520166	108.779365	
12030	492	1st day of the lunar month	WesternQiandong	Qiandong, West	nei⁴⁴ʔi⁴⁴	nei⁴⁴ʔi⁴⁴	n ei ⁴⁴ + ʔ i ⁴⁴		3354	26.43106	107.68758	
12031	492	1st day of the lunar month	WesternBaheng	Baheng, West	heŋ³⁵jei³¹	heŋ³⁵jei³¹	h e ŋ ³⁵ + j ei ³¹	pahn1237	3354	25.74971	109.286281	
12032	492	1st day of the lunar month	EasternBahen	Baheng, East	ta³³ʑe³⁵	ta³³ʑe³⁵	t a ³³ + ʑ e ³⁵	pahn1237	3354	27.11733	111.02615	
12033	492	1st day of the lunar month	Dongnu	Dongnu	θəŋ³³ʑe⁵³	θəŋ³³ʑe⁵³	θ ə ŋ ³³ + ʑ e ⁵³	dong1287	3354	24.201523	107.957327	
12034	492	1st day of the lunar month	Nunu	Nunu	so¹³ʔit³⁵	so¹³ʔit³⁵	s o ¹³ + ʔ i t ³⁵	nunu1247	3354	24.232341	107.194266	
12035	492	1st day of the lunar month	Numao	Numao	sai³³ʔi³³	sai³³ʔi³³	s ai ³³ + ʔ i ³³	numa1251	3354	25.447767	108.064732	
12036	492	1st day of the lunar month	Bana	Bana	tʰjeu¹³ʑi¹³	tʰjeu¹³ʑi¹³	tʰ j eu ¹³ + ʑ i ¹³		3354	26.265147	110.096902	
12037	492	1st day of the lunar month	Younuo	Younuo	tsʰu⁴⁴je⁵⁵	tsʰu⁴⁴je⁵⁵	tsʰ u ⁴⁴ + j e ⁵⁵	youn1235	3354	25.730893	110.115975	
12038	492	1st day of the lunar month	She	She	tsʰɔ³³ʔe³⁵	tsʰɔ³³ʔe³⁵	tsʰ ɔ ³³ + ʔ e ³⁵	shee1238	3354	26.264261	110.096988	
12039	492	1st day of the lunar month	Jiongnai	Jiongnai	hu⁴⁴wai⁵⁵	hu⁴⁴wai⁵⁵	h u ⁴⁴ + w ai ⁵⁵	jion1236	3354	24.071002	110.105752	
12040	492	1st day of the lunar month	Mien	Mien	sɛŋ³³ʑet⁵⁵	sɛŋ³³ʑet⁵⁵	s ɛ ŋ ³³ + ʑ e t ⁵⁵	iumi1238	3354	24.172823	110.054488	
12041	492	1st day of the lunar month	KimMun	Kim Mun	tʃʰeu¹¹ʑet⁵⁵	tʃʰeu¹¹ʑet⁵⁵	tʃʰ eu ¹¹ + ʑ e t ⁵⁵	kimm1245	3354	18.955781	109.86012	
12042	492	1st day of the lunar month	BiaoMin	Biao Min	tʰjəu³³ʑit⁵³	tʰjəu³³ʑit⁵³	tʰ j əu ³³ + ʑ i t ⁵³	biao1254	3354	25.82286	111.29622	
12043	492	1st day of the lunar month	ZaoMin	Zao Min	heŋ⁴⁴ʑot⁴⁴	heŋ⁴⁴ʑot⁴⁴	h e ŋ ⁴⁴ + ʑ o t ⁴⁴	dzao1238	3354	24.612303	112.266749	
12044	493	2nd day of the lunar month	EasternLuobuohe	Luobuohe, Eastern	sen³¹ʔu³¹	sen³¹ʔu³¹	s e n ³¹ + ʔ u ³¹	luop1235	3355	26.63966	107.913354	
12045	493	2nd day of the lunar month	WesternLuobuohe	Luobuohe, Western	sen³¹ʔu³¹	sen³¹ʔu³¹	s e n ³¹ + ʔ u ³¹	luop1235	3355	26.854607	107.226676	
12046	493	2nd day of the lunar month	Chuanqiandian	Chuanqiandian	sa⁴³ʔau⁴³	sa⁴³ʔau⁴³	s a ⁴³ + ʔ au ⁴³	chua1256	3355	27.51846	105.421028	
12047	493	2nd day of the lunar month	CentralGuizhouChuanqiandian	Chuanqiandian, Central Guizhou	sʰẽ²⁴ʔa²⁴	sʰẽ²⁴ʔa²⁴	sʰ ẽ ²⁴ + ʔ a ²⁴	nort2749	3355	26.231562	106.861969	
12048	493	2nd day of the lunar month	SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	sæn²²ʔɔ³²	sæn²²ʔɔ³²	s æ n ²² + ʔ ɔ ³²	cent1394	3355	25.586343	106.323467	
12049	493	2nd day of the lunar month	NortheastYunnanChuanqiandian	Chuanqiandian, Northeast Yunnan	sie⁵⁵ʔa⁵⁵	sie⁵⁵ʔa⁵⁵	s i/j e ⁵⁵ + ʔ a ⁵⁵	larg1235	3355	27.096059	103.698607	
12050	493	2nd day of the lunar month	WesternXiangxi	Xiangxi, West	ʔɯ³⁵n̥e³⁵ɬɑ⁵³	ʔɯ³⁵n̥e³⁵ɬɑ⁵³	ʔ ɯ ³⁵ + n̥ e ³⁵ + ɬ ɑ ⁵³	west2430	3355	28.33212	109.422366	
12051	493	2nd day of the lunar month	EasternXiangxi	Xiangxi, East	ʔu⁵³n̥ei⁵³ɬa³³	ʔu⁵³n̥ei⁵³ɬa³³	ʔ u ⁵³ + n̥ ei ⁵³ + ɬ a ³³	east2371	3355	28.124036	109.890473	
